acc_macro,prec_macro,rec_macro,f1_macro,acc_micro,prec_micro,rec_micro,f1_micro,rec_at_8,prec_at_8,f1_at_8,rec_at_15,prec_at_15,f1_at_15,auc_macro,auc_micro,loss_dev,acc_macro_te,prec_macro_te,rec_macro_te,f1_macro_te,acc_micro_te,prec_micro_te,rec_micro_te,f1_micro_te,rec_at_8_te,prec_at_8_te,f1_at_8_te,rec_at_15_te,prec_at_15_te,f1_at_15_te,auc_macro_te,auc_micro_te,loss_test_te,loss_tr
0.024689093,0.038392706,0.040920839,0.03961648,0.280175869,0.474669739,0.406098162,0.437714654,0.324450653,0.607219497,0.422923848,0.436000515,0.454486,0.445051389,0.82766951,0.969316849,0.009301743,0.024614627,0.042212786,0.041818242,0.042014588,0.274241605,0.475828343,0.392954868,0.430438943,0.308520467,0.598383749,0.407129287,0.420079971,0.453954132,0.436360636,0.817622485,0.968538268,0.009557096,nan
0.024668182,0.042905661,0.035699814,0.038972454,0.285562152,0.539401559,0.377649461,0.44426036,0.32587654,0.606069896,0.423852601,0.441235695,0.458982219,0.449934033,0.828045884,0.971706256,0.007475078,0.023889192,0.045595593,0.035197011,0.039727116,0.278024894,0.532464743,0.367817229,0.435085256,0.308841082,0.596048339,0.406865656,0.422319189,0.454962436,0.438033492,0.815047535,0.970842838,0.007807115,nan
0.024811262,0.043394961,0.036287823,0.039524439,0.285760103,0.542575865,0.376452363,0.444499875,0.327376921,0.60928878,0.425908805,0.444395056,0.461393828,0.452734936,0.831953279,0.971678434,0.007443843,0.025609678,0.048138855,0.039421005,0.043345936,0.273895106,0.522158904,0.365509511,0.430012023,0.30980322,0.597753559,0.408097833,0.425175669,0.457928035,0.440944495,0.822277288,0.971409378,0.007842057,nan
0.0254793,0.042375201,0.038495058,0.040342045,0.289704314,0.52569487,0.3922259,0.449256952,0.329257962,0.613427345,0.428511691,0.451700195,0.470018394,0.460677266,0.833941115,0.973059067,0.007503392,0.025607311,0.046769027,0.039315933,0.042719842,0.280713422,0.513050012,0.38266904,0.438370391,0.312455961,0.600978648,0.411150091,0.431279601,0.463088177,0.446618246,0.821953901,0.972068623,0.007867319,nan
0.027739617,0.044042129,0.045074875,0.044552518,0.279918033,0.470290413,0.408809239,0.437399936,0.318520787,0.59342428,0.414538059,0.438782788,0.453750255,0.446141022,0.826831827,0.970954541,0.00835059,0.027661449,0.047662648,0.046350088,0.046997205,0.270439407,0.457380339,0.398196683,0.425741527,0.301290635,0.582369514,0.397126612,0.417099332,0.448062475,0.432026836,0.815479054,0.969785557,0.008699534,nan
0.023022551,0.040785972,0.033794082,0.036962282,0.279726468,0.539934779,0.367262869,0.437166028,0.325121795,0.608982219,0.42392151,0.437829667,0.45603924,0.446748974,0.838588159,0.972290101,0.007547083,0.023395791,0.044606052,0.034608258,0.038976234,0.273460309,0.539656807,0.356657765,0.429475983,0.310121606,0.601571767,0.409261289,0.423177775,0.456603401,0.439255616,0.825003369,0.971269751,0.007851752,nan
0.024567825,0.040618081,0.038066245,0.039300783,0.283006146,0.51789104,0.384233505,0.441161014,0.324261864,0.602851012,0.421699661,0.44074578,0.457715103,0.449070191,0.83578912,0.972134764,0.007762077,0.025334807,0.046040152,0.039899064,0.042750192,0.275855347,0.514008082,0.373190914,0.432424173,0.309406957,0.597975979,0.407805615,0.422740754,0.455001977,0.438278489,0.823907109,0.971430674,0.008040379,nan
0.024661681,0.043999938,0.034204157,0.038488542,0.287879202,0.563413459,0.370537286,0.447059323,0.32687442,0.608292459,0.425240134,0.442513915,0.459390967,0.450794533,0.827115263,0.97127636,0.007321947,0.024477795,0.046996786,0.036551945,0.041121485,0.256565776,0.476974916,0.357003923,0.40836028,0.3080341,0.597049229,0.406396883,0.423395171,0.456979043,0.43954654,0.817962415,0.970624913,0.008365923,nan
0.017087188,0.03032127,0.026361165,0.028202882,0.271157215,0.549138074,0.348813464,0.426630493,0.319349259,0.599708768,0.416767048,0.428689794,0.4472103,0.437754243,0.811616957,0.968732927,0.008635642,0.017480089,0.0352931,0.026804625,0.030468695,0.259456413,0.519316102,0.341459796,0.412013326,0.304621628,0.59311981,0.402514833,0.412715219,0.447627521,0.429463008,0.800575669,0.967582834,0.009127718,nan
0.023498014,0.041996869,0.033215527,0.03709357,0.283435416,0.555454788,0.366593902,0.441682398,0.323978286,0.60154813,0.421140939,0.441833843,0.459227468,0.450362777,0.832905711,0.972023561,0.007393222,0.023269454,0.047585551,0.033696056,0.039454077,0.276463279,0.545061373,0.359394059,0.433170751,0.309000149,0.598606168,0.407598298,0.422678501,0.45658363,0.438977359,0.819606259,0.971003524,0.007718196,nan
0.024±0.002,0.040±0.003,0.036±0.004,0.038±0.003,0.282±0.005,0.527±0.030,0.379±0.017,0.440±0.006,0.324±0.003,0.605±0.005,0.422±0.003,0.440±0.005,0.457±0.005,0.448±0.005,0.829±0.007,0.971±0.001,0.007±0.000,0.024±0.002,0.045±0.003,0.037±0.005,0.040±0.004,0.271±0.007,0.509±0.028,0.369±0.016,0.427±0.009,0.308±0.002,0.596±0.005,0.406±0.003,0.422±0.004,0.455±0.004,0.437±0.004,0.817±0.006,0.970±0.001,0.008±0.000,
