acc_macro,prec_macro,rec_macro,f1_macro,acc_micro,prec_micro,rec_micro,f1_micro,rec_at_5,prec_at_5,f1_at_5,auc_macro,auc_micro,loss_dev,acc_macro_te,prec_macro_te,rec_macro_te,f1_macro_te,acc_micro_te,prec_micro_te,rec_micro_te,f1_micro_te,rec_at_5_te,prec_at_5_te,f1_at_5_te,auc_macro_te,auc_micro_te,loss_test_te,loss_tr
0.387674914,0.65101729,0.467802045,0.544408217,0.437400248,0.712038106,0.531401487,0.608599099,0.603437304,0.610298792,0.606848653,0.886082919,0.914599214,0.215899116,0.384254362,0.644093621,0.46139248,0.537645752,0.435593488,0.716868253,0.526104801,0.606847958,0.591667719,0.616078658,0.603626492,0.88350676,0.913162677,0.221952415,nan
0.385879299,0.649142655,0.466352648,0.542771261,0.437887648,0.711591073,0.532371001,0.609070742,0.60282037,0.609663064,0.606222409,0.885535718,0.914641045,0.214617787,0.382215977,0.638721273,0.4597065,0.534626542,0.434343434,0.714898039,0.525341224,0.605633803,0.591044781,0.615731637,0.603135701,0.882742193,0.913087076,0.220763737,nan
0.387278247,0.64729675,0.467798759,0.543100773,0.437023915,0.710848581,0.53150921,0.608234714,0.60427735,0.610807374,0.607524816,0.886058846,0.914481698,0.216698357,0.384457399,0.641205984,0.461960644,0.537021193,0.434830662,0.715510522,0.525723012,0.60610729,0.590766714,0.615384615,0.602824435,0.88345575,0.912971662,0.222855569,nan
0.384474062,0.645303386,0.464957262,0.540482987,0.437405865,0.711280795,0.531832382,0.608604536,0.603279003,0.610425938,0.606831428,0.885306592,0.914537978,0.214049285,0.381120081,0.644840331,0.459065237,0.536320838,0.433914622,0.714619883,0.524863988,0.605216817,0.589522103,0.61399653,0.601510464,0.882625193,0.913118383,0.220097537,nan
0.386043686,0.650190899,0.465780506,0.542749115,0.436474865,0.711519006,0.530324249,0.607702753,0.603601534,0.610171647,0.606868808,0.885918263,0.914541232,0.215933878,0.383900745,0.644484885,0.460670282,0.537291129,0.435508106,0.71752443,0.525627565,0.606765095,0.591777613,0.616310006,0.603794722,0.883299053,0.913062675,0.222018252,nan
0.38760744,0.650277946,0.467554634,0.543982118,0.438193274,0.713171577,0.531940106,0.609366323,0.603656846,0.610553083,0.607085381,0.885985698,0.914535164,0.215996355,0.3832005,0.64351016,0.459790294,0.536353855,0.434400949,0.717008223,0.524291305,0.605689712,0.592006916,0.616194332,0.603858516,0.883467211,0.913101358,0.222034177,nan
0.385354709,0.652030349,0.465757087,0.543373,0.436381357,0.710883372,0.530539696,0.607612115,0.602774544,0.610044501,0.606387733,0.885805027,0.914641689,0.215148431,0.382697138,0.639690199,0.459369212,0.534737212,0.434421693,0.716707969,0.524482199,0.605709877,0.590736011,0.615037594,0.602641911,0.883265556,0.913275318,0.221146858,nan
0.385778102,0.653666554,0.465858634,0.54400957,0.43692935,0.711563447,0.530970591,0.608143122,0.602727873,0.609663064,0.606175633,0.885795773,0.914598715,0.215282326,0.382669002,0.641107772,0.459430137,0.535273213,0.434514394,0.717138755,0.524386752,0.605799978,0.590538186,0.615037594,0.602538955,0.883194173,0.913117448,0.221363921,nan
0.386637916,0.650032898,0.466754629,0.543354679,0.436968085,0.711666185,0.530970591,0.60818064,0.603865411,0.610680229,0.607253701,0.88583595,0.914482502,0.216022391,0.383839343,0.643295266,0.46088434,0.537022623,0.434768866,0.71640625,0.525150329,0.606047255,0.592072915,0.616310006,0.603948393,0.883334382,0.913041428,0.222069486,nan
0.386895408,0.651536107,0.466886137,0.543968394,0.436497385,0.711191336,0.530539696,0.60772458,0.602654478,0.609917355,0.606264166,0.885945693,0.914546304,0.215979703,0.383918792,0.647601392,0.460902027,0.538529316,0.43586905,0.717614894,0.526104801,0.607115321,0.591979181,0.616078658,0.60378854,0.883481501,0.913173506,0.221956987,nan
0.386±0.001,0.65±0.002,0.467±0.001,0.543±0.001,0.437±0.001,0.712±0.001,0.531±0.001,0.608±0.001,0.603±0.001,0.61±0,0.607±0,0.886±0,0.915±0,0.216±0.001,0.383±0.001,0.643±0.003,0.46±0.001,0.536±0.001,0.435±0.001,0.716±0.001,0.525±0.001,0.606±0.001,0.591±0.001,0.616±0.001,0.603±0.001,0.883±0,0.913±0,0.222±0.001,
