83.72,83.7
987.8,987
80.23,80.2
346.4,346
655.13,655.1
533.70,533.7
255.1,255
V45.2,V45
852.09,852.0
24.12,24.1
90.35,90.3
763.7,763
242.81,242.8
E910.0,E910
747.39,747.3
E910.2,E910
E872,E870-E876.9
204.90,204.9
434.9,434
14.6,14
881.12,881.1
71.62,71.6
270.2,270
V60.3,V60
136.9,136
56.32,56.3
337.2,337
80.3,80
V14.1,V14
641.3,641
679,678-679.99
35.04,35.0
01.19,01.1
61.0,61
996.86,996.8
525.41,525.4
008.4,008
02.21,02.2
814.18,814.1
84.68,84.6
789.49,789.4
60.79,60.7
82.57,82.5
V87,V87-V87.99
37.62,37.6
287.9,287
78.10,78.1
732.9,732
429.89,429.8
209.17,209.1
295.35,295.3
209.15,209.1
V14.4,V14
821.29,821.2
053,050-059.99
02,01-05.99
730.94,730.9
712.83,712.8
182.0,182
006.6,006
346.7,346
730.96,730.9
755.01,755.0
91.75,91.7
669.60,669.6
56.92,56.9
812.41,812.4
015.66,015.6
375.56,375.5
213.0,213
V03.1,V03
89.18,89.1
76.45,76.4
890-897.99,870-897.99
017.76,017.7
E951.0,E951
250.13,250.1
V71.6,V71
611.79,611.7
993.0,993
711.37,711.3
607.83,607.8
711.35,711.3
607.81,607.8
35.07,35.0
801.11,801.1
654.94,654.9
063.8,063
V13.62,V13.6
794.10,794.1
041.09,041.0
525.71,525.7
363.08,363.0
774.30,774.3
V13.64,V13.6
33.99,33.9
93.8,93
721.6,721
824,820-829.99
664.2,664
E957.0,E957
304.6,304
042,042-042.99
647.30,647.3
721.9,721
98.23,98.2
806.33,806.3
66.1,66
E888.8,E888
392.9,392
E981,E980-E989.9
015.96,015.9
629,617-629.99
315.9,315
97.43,97.4
979.9,979
44.12,44.1
78.13,78.1
171.0,171
20.39,20.3
528.7,528
378.71,378.7
V60.6,V60
270.5,270
90.95,90.9
79.0,79
622.1,622
716.59,716.5
E800.0,E800
736.39,736.3
962.2,962
E800.2,E800
V71.9,V71
905.0,905
78.2,78
806.31,806.3
E950.8,E950
576.0,576
188.4,188
008.02,008.0
922.33,922.3
008.00,008.0
973.5,973
312.10,312.1
