acc_macro,prec_macro,rec_macro,f1_macro,acc_micro,prec_micro,rec_micro,f1_micro,rec_at_5,prec_at_5,f1_at_5,auc_macro,auc_micro,loss_dev,acc_macro_te,prec_macro_te,rec_macro_te,f1_macro_te,acc_micro_te,prec_micro_te,rec_micro_te,f1_micro_te,rec_at_5_te,prec_at_5_te,f1_at_5_te,auc_macro_te,auc_micro_te,loss_test_te,loss_tr
0.392731823,0.645043348,0.479407541,0.550026058,0.431221839,0.70565274,0.525799849,0.602592593,0.595875691,0.60432295,0.600069593,0.884237429,0.912516337,0.220675189,0.399185249,0.630631315,0.486236695,0.549099954,0.437294247,0.709796438,0.532499761,0.608496483,0.582951784,0.608791209,0.595591371,0.880601543,0.911339429,0.226398319,nan
0.392408787,0.639957182,0.480766249,0.549055735,0.431215299,0.703320397,0.527092535,0.602586207,0.5958485,0.603941513,0.599867711,0.884370751,0.912106561,0.222302006,0.398239657,0.630497036,0.484855704,0.548167541,0.435150376,0.70804129,0.530304476,0.606417813,0.582965096,0.609832273,0.5960961,0.880594091,0.911009454,0.22815604,nan
0.392874937,0.640957324,0.481491397,0.549896724,0.431738213,0.701844702,0.528708392,0.603096584,0.596285352,0.604831532,0.600528038,0.88421764,0.912397093,0.221413241,0.399959295,0.632495944,0.487205916,0.550424674,0.438096729,0.708697303,0.534313258,0.609272965,0.582221875,0.608097166,0.594878281,0.880499147,0.91123358,0.227183502,nan
0.387711311,0.64186271,0.472626749,0.544395433,0.428255485,0.705479452,0.521490897,0.599690307,0.594194518,0.603560076,0.598840681,0.88388247,0.912698814,0.219250019,0.394626166,0.630661925,0.479325374,0.544676977,0.434430738,0.710759738,0.527727403,0.605718668,0.581912598,0.607171776,0.594273902,0.880340951,0.911637109,0.224697554,nan
0.393276372,0.645392867,0.48016275,0.550650024,0.431537102,0.70572089,0.526230744,0.602900339,0.595477604,0.604195804,0.599805026,0.884294197,0.912522108,0.220682856,0.398301777,0.6299461,0.485133984,0.548136884,0.436251078,0.709081646,0.531354395,0.607485814,0.583442709,0.608906883,0.595902886,0.880573744,0.911313901,0.226406413,nan
0.392571134,0.645576575,0.478823148,0.549834728,0.430994875,0.705627079,0.525476678,0.602370956,0.595718098,0.604068659,0.599864318,0.884210095,0.912465588,0.220806761,0.398314815,0.63188926,0.485062195,0.548825269,0.436466254,0.709480122,0.531449843,0.607694407,0.582248123,0.608097166,0.594891981,0.880599638,0.911278255,0.226530407,nan
0.393635788,0.644180618,0.480255761,0.550269377,0.431944813,0.707006369,0.526123021,0.603298129,0.595411524,0.603814367,0.599583507,0.88444523,0.912052969,0.222549616,0.397746844,0.631154204,0.483514892,0.547557043,0.435147428,0.709228016,0.529636346,0.60641495,0.583105739,0.608791209,0.595671712,0.880733391,0.91090252,0.228493313,nan
0.39526692,0.629614162,0.483132222,0.54673175,0.431417489,0.703666427,0.527200259,0.602783594,0.596228629,0.603560076,0.599871953,0.884462812,0.911225507,0.225722922,0.397018784,0.628637395,0.483711349,0.546733287,0.433943089,0.705695398,0.529827241,0.605244507,0.582200228,0.608791209,0.595198873,0.880742745,0.910082212,0.231983168,nan
0.395342933,0.642082599,0.482264985,0.550815352,0.431681946,0.703794194,0.52752343,0.603041685,0.596922953,0.605848697,0.601352706,0.884442039,0.911746638,0.223802018,0.395839131,0.627766578,0.483031633,0.545969758,0.433549496,0.704993012,0.529636346,0.604861565,0.581940621,0.607981492,0.594676111,0.880793046,0.910512937,0.230079213,nan
0.38916219,0.623449236,0.475948085,0.539803881,0.430538394,0.704404332,0.525476678,0.601924975,0.59336639,0.604195804,0.598732133,0.883448772,0.912790533,0.218581943,0.39503849,0.631340615,0.480755627,0.545853033,0.435249824,0.709500064,0.529636346,0.606514373,0.581219292,0.607518797,0.594078121,0.880111619,0.91184152,0.223666124,nan
0.392±0.002,0.64±0.007,0.479±0.003,0.548±0.003,0.431±0.001,0.705±0.001,0.526±0.002,0.602±0.001,0.596±0.001,0.604±0.001,0.6±0.001,0.884±0,0.912±0,0.222±0.002,0.397±0.002,0.631±0.001,0.484±0.002,0.548±0.002,0.436±0.001,0.709±0.002,0.531±0.002,0.607±0.001,0.582±0.001,0.608±0.001,0.595±0.001,0.881±0,0.911±0,0.227±0.002,
